person,count,pgpid
vol,1875,"6111, 6335, 5735, 2766, 5934, 5975, 6399, 3481, 6099, 5919, 5970, 5682, 9552, 6006, 5622, 9540, 5798, 9556, 5645, 5686, 5742, 5775, 6005, 5943, 6067, 6062, 5915, 5580, 5576, 4754, 6026, 700, 5814, 5914, 5946, 5712, 5858, 6030, 5603, 6087, 5871, 6022, 5913, 5924, 5994, 5990, 9537, 5880, 5634, 6093, 9563, 9555, 5571, 5811, 2673, 5985, 6061, 889, 5950, 6047, 6097, 5574, 5815, 2537, 5988, 6334, 6028, 5939, 599, 5973, 5841, 5980, 5651, 5732, 5887, 469, 5758, 5874, 5987, 5597, 6011, 5692, 5708, 5693, 5832, 5803, 6113, 5883, 6004, 5621, 5960, 6339, 4494, 6009, 5653, 4276, 3253, 6033, 9543, 5675, 1763, 5727, 5564, 3104, 5949, 5863, 5826, 5781, 9548, 5881, 6125, 6041, 6080, 5583, 6109, 6016, 702, 3670, 5590, 5562, 5930, 6104, 6160, 6421, 5584, 5852, 5860, 5658, 5711, 5957, 5820, 2629, 5948, 5849, 5895, 5599, 5756, 5581, 5936, 5938, 5696, 5718, 5619, 5585, 699, 5937, 5901, 5955, 5906, 5979, 5817, 5978, 6066, 5828, 5801, 5608, 5958, 6054, 5577, 5265, 6098, 2571, 6116, 5624, 5827, 5588, 5966, 6053, 6073, 5643, 6079, 5940, 6089, 6123, 9558, 6114, 3267, 2062, 5740, 5785, 6059, 5918, 5594, 712, 5560, 5933, 6072, 5797, 5660, 6374, 5907, 5968, 6082, 5995, 5838, 5719, 1396, 5573, 6133, 5866, 5864, 5954, 5977, 6038, 6108, 5812, 5717, 5932, 5611, 5569, 5750, 6056, 6007, 5859, 5892, 9037, 6031, 7003, 6368, 5755, 2483, 3542, 5745, 5821, 3903, 6115, 5657, 5595, 5565, 5921, 6100, 6094, 5680, 5618, 6350, 5795, 3475, 5664, 5646, 6046, 5582, 5893, 5942, 5964, 1696, 5632, 5713, 5668, 5800, 6014, 2560, 5772, 5607, 6440, 5563, 5956, 6034, 4294, 6019, 721, 6045, 5903, 4203, 5770, 5889, 5715, 5855, 5931, 5976, 5636, 5844, 6010, 5963, 6021, 4339, 5865, 5947, 6102, 5695, 5431, 5733, 9562, 6020, 5802, 6023, 5654, 5845, 5896, 5935, 5879, 9554, 6027, 5647, 5700, 6101, 5854, 5774, 5786, 5848, 3873, 5762, 5592, 3717, 6091, 5689, 5998, 5904, 5699, 6048, 6432, 6075, 3701, 6077, 6461, 5824, 5558, 5737, 2466, 5898, 5920, 5730, 3522, 6340, 6043, 6124, 5818, 6058, 5856, 5672, 5967, 6081, 5589, 6119, 5773, 5992, 5665, 6112, 3697, 5702, 5606, 5617, 5673, 5720, 6013, 6070, 5868, 6107, 6130, 5996, 6063, 5561, 5831, 5872, 9539, 5819, 5662, 5922, 5587, 5663, 6469, 5873, 12414, 5706, 5959, 6017, 2783, 5999, 6065, 6110, 6326, 5688, 6003, 5910, 5674, 5847, 5928, 6983, 5833, 9553, 5822, 5633, 6426, 5704, 6095, 5731, 5604, 6057, 6035, 5952, 5709, 5857, 843, 6083, 5888, 5671, 5867, 6029, 5748, 5676, 5766, 5825, 6121, 5616, 2681, 5609, 2521, 5911, 5961, 5567, 5722, 6018, 6032, 5993, 6076, 11272, 5839, 3425, 3305, 5757, 9283, 5886, 5635, 5769, 5701, 5779, 5850, 5916, 6008, 5738, 534, 5726, 5809, 4498, 9560, 5877, 3556, 5649, 5971, 5728, 5746, 5991, 6000, 6466, 6069, 5691, 5679, 5806, 6074, 5610, 6106, 3708, 5724, 6092, 5620, 9538, 6040, 9279, 6071, 7115, 5736, 5983, 6090, 5683, 6012, 5591, 9544, 5853, 5734, 5602, 5697, 5559, 9561, 5705, 2455, 5721, 5823, 5741, 6049, 5816, 4083, 830, 4479, 5637, 5761, 5891, 5837, 5974, 6118, 5601, 5900, 5743, 5884, 5753, 2577, 1501, 5870, 5694, 2573, 5878, 6002, 5655, 6060, 5876, 5765, 2485, 5926, 5767, 5808, 5843, 2554, 6126, 5834, 5698, 6050, 5598, 6559, 3469, 5575, 5579, 9482, 5905, 5714, 5836, 5902, 5625, 5829, 3726, 6127, 5739, 5752, 622, 2406, 6051, 5813, 5623, 5962, 5716, 2505, 5578, 6025, 5570, 5678, 5986, 5951, 6064, 5723, 3504, 5965, 5842, 5566, 5638, 5908, 6037, 6084, 5894, 5572, 6096, 6431, 5989, 5969, 5944, 6352, 6001, 2547, 5605, 4312, 5972, 5652, 6105, 5909, 5568, 5927, 5661, 5869, 6044, 5615, 7008, 5593, 5923, 5596, 9547, 5639, 5885, 6036, 5890, 5925, 6015, 6403, 5557, 6068, 2404, 1045, 3474, 5614, 2506, 2150, 5644, 7036, 5830, 5780, 5941, 5862, 5759, 5912, 6122, 5768, 5846, 6052, 5729, 6103, 5835, 5650, 6120, 5771, 6330, 6039, 5875"
goitein,1797,"2821, 4134, 5498, 3249, 2069, 8858, 3283, 3012, 8998, 8013, 7982, 3929, 3403, 23298, 1030, 2756, 3216, 7570, 2807, 1565, 8020, 17299, 2746, 4754, 1996, 3355, 22564, 9510, 3411, 6207, 2413, 1992, 19300, 2439, 7361, 2782, 6711, 2058, 2148, 8381, 1271, 12452, 3755, 7220, 3271, 3284, 1191, 2143, 2012, 1254, 6617, 3302, 1772, 2689, 4269, 6468, 19072, 656, 2833, 3159, 2743, 2847, 4306, 1214, 3347, 4245, 6626, 4145, 4618, 2878, 8729, 4335, 5393, 5249, 4166, 2127, 7095, 3999, 8594, 5466, 19781, 6287, 3205, 3433, 8402, 9511, 4719, 3235, 2142, 3104, 9038, 5781, 3315, 3311, 3492, 2957, 3817, 6495, 8268, 6989, 1517, 2978, 2172, 2820, 19740, 6421, 6276, 853, 2025, 8701, 4740, 3293, 5266, 4174, 6134, 9186, 8265, 4255, 3285, 5581, 9640, 2953, 4081, 7131, 3018, 2147, 3871, 573, 6310, 2178, 1404, 6780, 5205, 6892, 8680, 2841, 5233, 3515, 30295, 19944, 4567, 4167, 1101, 2227, 1013, 2707, 5917, 2814, 4080, 2694, 629, 2710, 7287, 2798, 6772, 9324, 3690, 1975, 5810, 3662, 849, 3849, 9067, 2677, 6914, 9461, 3304, 3002, 1538, 3858, 6220, 8859, 3920, 3814, 4768, 2903, 1230, 6891, 4238, 3483, 5569, 6671, 5501, 5293, 5493, 7481, 4580, 12114, 1456, 6373, 6821, 1629, 3364, 1922, 7018, 4760, 6779, 578, 19136, 1674, 1113, 1869, 5618, 9075, 3479, 2828, 911, 4607, 9119, 5582, 2563, 8863, 3359, 2206, 4611, 11966, 8151, 5800, 1859, 2781, 3309, 7077, 2549, 2184, 5520, 3272, 8432, 4063, 3006, 6325, 3077, 4153, 4294, 8028, 8772, 5903, 3918, 4199, 9305, 9120, 4671, 3964, 6689, 8042, 8364, 6189, 19973, 3681, 4267, 2566, 4121, 6230, 2615, 1684, 1564, 6282, 2064, 5396, 7184, 3815, 3716, 2819, 6478, 1707, 2446, 4748, 8890, 2879, 9519, 2732, 6558, 6867, 4293, 4641, 4032, 1465, 1878, 2221, 2805, 3991, 3265, 7196, 4513, 3666, 8272, 2928, 3488, 1442, 3075, 4102, 3362, 2972, 6432, 5304, 3913, 2501, 3912, 4620, 2912, 6213, 3427, 2026, 3408, 6573, 6461, 5898, 4237, 639, 6340, 2815, 2145, 9521, 2734, 9523, 877, 2793, 1138, 3549, 6176, 2622, 2772, 3560, 9513, 2984, 6199, 5538, 1198, 1781, 2159, 3963, 2831, 1560, 2901, 8379, 1057, 2609, 4095, 7856, 8635, 2906, 4215, 1031, 3091, 9675, 6563, 4005, 8851, 3001, 3360, 4325, 8725, 3691, 6275, 2741, 6568, 2166, 2918, 3243, 3099, 3108, 8744, 6552, 2528, 2061, 2144, 4260, 1915, 4342, 1851, 2108, 4046, 3806, 3261, 5378, 7391, 4133, 2521, 6229, 2398, 5567, 912, 3164, 7193, 8267, 3282, 3547, 2422, 3719, 4109, 3005, 2712, 2822, 3334, 2797, 5809, 30219, 6280, 5728, 7694, 6466, 9516, 5252, 913, 6227, 3060, 8916, 4161, 3200, 3673, 4265, 8702, 2558, 3240, 7659, 4159, 2121, 1888, 846, 1438, 4644, 6490, 953, 8288, 11335, 1723, 3017, 801, 9278, 8776, 9525, 2266, 11212, 1007, 1988, 3333, 4643, 4666, 7630, 3221, 4563, 8662, 4004, 7597, 2846, 2167, 2762, 3278, 5198, 2561, 3071, 3361, 4148, 1995, 1501, 26646, 2904, 4495, 2825, 2977, 1618, 2806, 2761, 2078, 7681, 2898, 6178, 3121, 2965, 6554, 3944, 2580, 5739, 3416, 6283, 31251, 4522, 1025, 3230, 1752, 2646, 1385, 2983, 3663, 1871, 6218, 8745, 9209, 4312, 5547, 6492, 7859, 1889, 3857, 4141, 992, 2174, 2769, 3653, 8727, 2961, 7687, 9514, 6935, 3202, 19047, 3003, 2503, 1805, 3290, 17135, 1437, 9522, 5890, 2001, 5239, 3264, 3882, 9440, 1183, 3562, 591, 3954, 5862, 3262, 582, 3263, 4044, 6777, 6315, 6281, 6052, 2407, 5729, 2672, 3395, 1212, 2051, 3567, 9512, 2968, 7198, 5289, 3140, 4566"
halfon b. manasseh,522,"18588, 16562, 16510, 17317, 16653, 5361, 16530, 16616, 16509, 16679, 16435, 16581, 16506, 16515, 16601, 16559, 16525, 16552, 16494, 16676, 17457, 16183, 16624, 16161, 17590, 17588, 16681, 16524, 16172, 16218, 16673, 16528, 16229, 16057, 16058, 16638, 16661, 16270, 16516, 16633, 16286, 16167, 16685, 16596, 16499, 16571, 16856, 16566, 17964, 16531, 16483, 16646, 16529, 16648, 16123, 16654, 16582, 7425, 16678, 16501, 16101, 16056, 16210, 16271, 16224, 16572, 16628, 16629, 16640, 16660, 16704, 17834, 16698, 18633, 16594, 16508, 16504, 18590, 16561, 16527, 16683, 16505, 17946, 18589, 16700, 16632, 16574, 16734, 16613, 16096, 17092, 16641, 16141, 16959, 16209, 16645, 29014, 16568, 16625, 17985, 16164, 16500, 16119, 16541, 16526, 16614, 16535, 16549, 16578, 16214, 16639, 16970, 16701, 16637, 17782, 16514, 16665, 16542, 17837, 18623, 16100, 16611, 17890, 16662, 16595, 16655, 16216, 18012, 16592, 16612, 16061, 16217, 16855, 7664, 17407, 16659, 16583, 16495, 18042, 16517, 16608, 16493, 16548, 16496, 16593, 16647, 16684, 16079, 16585, 16545, 16550, 16906, 16671, 16512, 17835, 16498, 16305, 16680, 16511, 16502, 17780, 16112, 1801, 16979, 16281, 17653, 16491, 17027, 16503, 16626, 29163, 17150"
s.d. goitein,516,"1128, 1994, 2111, 1998, 909, 4328, 1380, 2947, 930, 5295, 692, 1082, 1240, 4313, 2912, 5227, 724, 2948, 1558, 1010, 2181, 1985, 5225, 4327, 1884, 2145, 4727, 1967, 3231, 5407, 1141, 4635, 1676, 1186, 1014, 4677, 1864, 2297, 2913, 4105, 2107, 650, 1860, 4678, 1161, 1047, 2000, 4655, 1657, 1114, 1980, 1237, 2021, 1866, 1948, 1000, 1911, 1110, 2020, 1031, 3091, 5202, 2640, 3199, 938, 979, 4314, 6611, 1929, 1942, 5570, 1862, 1766, 2175, 1818, 9044, 4061, 2034, 3931, 1206, 1259, 1885, 1919, 4675, 1902, 1960, 1244, 1966, 3939, 2616, 1869, 1679, 2043, 2225, 4336, 965, 2152, 2053, 1946, 1851, 1073, 3266, 4676, 1175, 2894, 5568, 3933, 2229, 1375, 4631, 2219, 1421, 3935, 4311, 3201, 3932, 1815, 2911, 1020, 1959, 925, 904, 1681, 1167, 3207, 2200, 5218, 1883, 1221, 1906, 3183, 2162, 4341, 2001, 1982, 1986, 4094, 1045, 2010, 1097, 1625, 2150, 3139, 1052, 1684, 3432, 927, 4667, 1811, 3236, 1037, 1958, 922, 2198, 4654, 1213, 4340, 3877, 4337, 3941, 2068, 1212, 2097, 5408, 5205, 5206, 2189, 906, 2154, 975"
gil,468,"801, 5592, 6116, 1491, 6161, 3204, 2569, 30355, 715, 4169, 5764, 5741, 3427, 891, 1120, 5260, 5198, 812, 1261, 765, 1643, 3379, 6078, 2573, 1138, 1837, 4495, 4414, 5677, 1656, 3223, 4249, 841, 3348, 2247, 839, 2939, 9804, 3346, 3419, 5982, 4014, 8642, 1658, 4474, 592, 718, 3342, 4219, 4215, 20115, 745, 6326, 1236, 3435, 2483, 3372, 6115, 864, 3146, 5952, 1836, 769, 4041, 1070, 5618, 763, 5888, 842, 2518, 9333, 4409, 4276, 779, 5666, 517, 2608, 9565, 3548, 9566, 5899, 3917, 3352, 819, 3104, 5631, 2441, 7991, 5781, 465, 29848, 1298, 701, 703, 3495, 3425, 4144, 705, 869, 2795, 5953, 6055, 29869, 5903, 823, 4524, 4074, 2587, 825, 1822, 29397, 5728, 4413, 4497, 1090, 26839, 1407, 790, 3250, 6162, 5862, 11413, 9276, 5237, 2519, 5759, 3394, 12273, 6842, 476, 846, 840, 4220, 9286, 29923, 3142"
shemuel,357,"1803, 2881, 3666, 19955, 3837, 4545, 19944, 692, 1985, 30549, 19308, 3331, 19937, 3411, 11724, 3624, 30402, 1781, 2148, 8379, 23350, 2954, 3444, 28157, 4743, 26833, 3555, 5836, 19968, 599, 12086, 19855, 1747, 5553, 5213, 3721, 4578, 3478, 1513, 2401, 2828, 19297, 4016, 11761, 6668, 12288, 2658, 4141, 4035, 3124, 1763, 19312, 20097, 1402, 3067, 1938, 19885, 2403, 2795, 4741, 2820, 1733, 5976, 19205, 19276, 12105, 12439, 26378, 1316, 2866, 5696, 23422, 17192, 19144, 30141, 876, 26825, 30273, 1465, 5350, 19970, 3970, 30580, 1700"
ase,345,"19452, 26948, 6778, 19955, 19929, 28976, 30278, 12072, 2912, 29668, 27426, 11654, 22563, 26411, 3273, 5402, 11750, 17299, 26675, 19888, 19204, 1999, 28546, 26718, 20476, 2913, 30332, 30140, 19991, 593, 29941, 30290, 1781, 16943, 19198, 31332, 3672, 6434, 19265, 19311, 19761, 30994, 8165, 5812, 718, 3328, 19325, 19993, 20454, 1433, 19216, 1025, 27089, 2039, 12114, 988, 12047, 26662, 1922, 3243, 26375, 19085, 31243, 20474, 19258, 12078, 25907, 19941, 26379, 19978, 1187, 2894, 1020, 6681, 19253, 28970, 22550, 19199, 30323, 2849, 2587, 28964, 26364, 27442, 19149, 4497, 2536, 1977, 8265, 22542, 12045, 1961, 2064, 20463, 2648, 23422, 12035, 17192, 19298, 19967, 31247, 2958, 476, 30141, 1647, 3709, 12442, 28460, 12351, 19949, 19974, 8288, 31257, 6221, 20607"
judaeo-arabic,315,"28462, 6592, 28340, 6161, 31606, 28127, 30277, 19917, 17178, 19757, 18470, 12113, 28450, 31255, 16895, 31157, 11300, 16177, 17214, 12108, 23292, 20232, 16876, 27061, 21192, 31095, 27076, 19266, 16936, 15845, 22548, 28973, 19265, 20234, 29196, 12726, 30749, 31218, 16916, 31222, 28593, 28595, 28493, 19993, 20448, 28349, 30708, 24598, 20466, 27089, 31216, 28971, 19834, 19942, 25474, 26783, 31008, 28422, 19200, 29105, 31225, 28438, 1732, 12889, 18501, 26263, 18977, 31221, 31500, 28184, 8836, 27088, 29665, 20225, 18718, 28362, 18776, 30896, 18848, 19943, 31519, 17374, 22562, 28465, 28418, 20477, 18866, 23306, 31220, 31219, 30794, 30858, 16793, 6162, 24601, 20449, 31217, 28277, 3493, 23253, 26701, 30282, 28436, 31349, 31348"
cohen,291,"8593, 8580, 5328, 5224, 5602, 3606, 8568, 8545, 8574, 3273, 8582, 2964, 5318, 8566, 5327, 5332, 3231, 8583, 5316, 2793, 3270, 8542, 5314, 5311, 12712, 593, 5309, 5325, 19920, 6433, 8043, 8544, 23407, 5331, 5326, 4525, 8578, 5223, 5310, 5329, 1721, 8557, 8592, 3215, 4522, 4547, 8543, 5315, 5249, 5320, 578, 4534, 4041, 5308, 5333, 3613, 4607, 6503, 976, 4611, 8575, 8563, 8587, 5330, 8589, 6346, 4657, 8585, 8588, 4642, 534, 4671, 5317, 5322, 5319, 8677, 786, 4661, 8581, 8561, 5324, 5312, 5321, 4639, 8584, 4517, 8586, 5231, 8546, 9033, 8564, 4301"
shams al-din,279,"8593, 5320, 8580, 5325, 5317, 5322, 5328, 30820, 5308, 5319, 5333, 8568, 8544, 8545, 4021, 8574, 8581, 5331, 17923, 5326, 8561, 8578, 5324, 8575, 8582, 5329, 8563, 5318, 5321, 8557, 8584, 8587, 8592, 8566, 8586, 20201, 5327, 5332, 8583, 5316, 5330, 8546, 11839, 8543, 8542, 8589, 8564, 8585, 8588"
