place,count,pgpid
mediterranean society,2520,"2539, 3967, 3512, 2111, 3446, 2069, 3283, 2759, 4040, 2791, 4664, 4313, 3178, 4291, 6141, 3316, 3004, 2854, 2552, 4028, 4068, 3677, 2756, 3273, 3546, 2655, 3337, 4645, 3241, 1884, 3651, 2757, 3793, 4613, 3992, 4533, 2746, 3501, 4636, 3925, 2297, 4628, 3962, 4013, 1860, 2754, 3377, 2540, 3989, 2479, 3444, 7136, 4526, 3680, 4242, 3313, 4150, 3271, 3284, 2896, 3214, 1980, 3671, 2448, 4627, 2603, 2891, 1911, 5310, 2576, 2387, 2482, 2388, 2833, 5202, 2640, 3136, 938, 3431, 4638, 1942, 2885, 4025, 4587, 1862, 3876, 2512, 4586, 4660, 4682, 5315, 4618, 3566, 1919, 4509, 2409, 3162, 3119, 1753, 1966, 2664, 6165, 2892, 1679, 3051, 3973, 4592, 4149, 3198, 1073, 4683, 3564, 3175, 4537, 3430, 3740, 4273, 2658, 3928, 3933, 3658, 4250, 4343, 2596, 2219, 2900, 3104, 3277, 1421, 3660, 3932, 4229, 3213, 4591, 3434, 1020, 4625, 2852, 2594, 3655, 925, 3343, 2827, 3351, 2592, 1681, 3866, 3207, 2820, 2200, 2511, 3453, 3255, 1883, 2162, 1135, 2835, 4307, 3732, 3643, 4192, 4601, 4605, 4271, 3229, 3098, 2474, 4629, 3525, 3139, 11337, 6134, 2553, 4129, 2461, 3484, 1037, 3181, 3386, 3306, 3166, 4296, 2198, 2429, 3285, 4033, 3269, 3477, 2830, 2843, 2510, 2508, 2489, 3324, 3714, 4011, 2958, 4062, 2619, 2778, 3280, 2777, 4090, 2625, 4114, 3485, 3976, 3268, 2393, 2735, 3531, 2189, 4588, 4020, 2779, 6612, 3170, 12849, 3472, 2653, 3480, 1994, 3919, 4646, 2752, 4328, 2525, 2502, 4530, 2836, 3659, 2551, 7457, 692, 3402, 4167, 1082, 5295, 4658, 2541, 724, 3106, 1010, 4609, 3373, 2814, 2667, 4659, 4155, 4679, 3905, 3135, 4344, 3524, 4528, 3727, 1141, 4037, 3754, 1864, 3248, 2913, 4097, 4584, 3137, 650, 3304, 3974, 4568, 3797, 4520, 3242, 2954, 2520, 1047, 4036, 3346, 4217, 3530, 2838, 3635, 3378, 3463, 4216, 2826, 2533, 3078, 4186, 1948, 4219, 3517, 2557, 3996, 4647, 3483, 4599, 3445, 2668, 3449, 3452, 2467, 2595, 2570, 4669, 4672, 979, 3180, 3210, 2639, 4600, 3720, 1885, 3252, 2444, 1960, 4626, 6779, 1244, 3565, 4113, 3317, 2971, 3496, 2440, 2708, 4650, 2610, 2401, 3134, 3723, 2887, 4016, 3704, 4607, 2563, 1175, 4001, 3703, 4611, 2229, 2019, 4508, 3413, 3160, 4311, 1815, 4043, 4572, 3510, 2809, 3399, 4063, 3448, 2990, 4623, 3165, 3194, 3523, 2731, 3437, 1167, 3468, 4657, 3918, 4524, 2739, 3307, 3725, 1221, 4341, 3183, 2877, 4671, 3063, 1982, 3174, 2543, 4303, 1986, 3291, 4241, 3184, 4085, 4681, 3997, 1097, 3415, 3358, 3432, 1052, 1684, 3625, 4127, 3308, 1811, 2771, 4290, 4295, 4632, 2391, 3738, 3815, 3521, 3661, 2866, 3534, 3245, 2433, 4637, 5312, 3941, 2819, 3536, 2443, 4039, 3972, 2438, 4585, 3951, 3668, 2068, 4240, 2732, 4574, 4293, 4633, 3667, 2805, 3979, 3970, 2703, 3053, 3265, 1128, 2938, 3823, 4089, 2531, 3952, 2546, 3637, 4289, 4304, 2947, 4331, 4620, 3968, 2501, 1240, 2912, 5227, 3161, 2948, 1558, 2598, 2181, 3460, 5225, 3931, 4126, 2824, 3129, 4523, 2755, 3669, 4674, 2734, 1186, 3014, 2548, 2534, 4616, 3550, 2950, 4009, 2644, 4123, 4254, 3312, 2107, 4258, 5309, 3914, 3397, 4678, 3447, 4617, 4608, 2773, 2516, 4309, 2575, 4685, 3835, 3381, 3983, 4543, 4274, 4610, 2959, 2620, 1031, 3086, 3091, 3644, 4015, 2415, 4531, 4079, 3921, 4621, 4314, 4589, 3339, 3758, 3491, 3131, 4259, 2842, 4194, 9044, 3539, 3010, 1206, 3340, 3370, 4093, 3126, 3619, 4117, 4619, 3243, 3507, 4593, 2616, 2419, 3108, 4542, 3923, 3400, 3675, 2538, 2043, 2225, 4515, 965, 4575, 4622, 1851, 3369, 2475, 3438, 3125, 2642, 2894, 4142, 2526, 3990, 4031, 4227, 3528, 3164, 3050, 4266, 3282, 4606, 4201, 4017, 2504, 3096, 3172, 1959, 2462, 4193, 4144, 3412, 2676, 2864, 2524, 4165, 3904, 3423, 3652, 4030, 3334, 4653, 1906, 3440, 4668, 3516, 2695, 2515, 3102, 3169, 2498, 2635, 3127, 2542, 1100, 3511, 1958, 4612, 4212, 4288, 2706, 12689, 9328, 2564, 4034, 4209, 3641, 4517, 3394, 3543, 3155, 3509, 3880, 3467, 3211, 4644, 3443, 3374, 9551, 3473, 4220, 5206, 2888, 3404, 4301, 2423, 3112, 3156, 4594, 2711, 3294, 1998, 2514, 4257, 2714, 4662, 3665, 4643, 930, 4666, 2455, 3218, 4163, 3558, 3514, 4563, 4185, 3276, 3436, 4529, 2662, 3498, 3927, 4576, 3783, 4310, 3151, 3551, 4148, 4076, 3749, 3563, 4272, 1967, 3231, 1676, 9329, 2951, 2457, 1014, 2453, 3926, 5314, 2825, 4518, 4111, 2527, 4105, 3246, 3417, 5311, 4178, 2680, 3916, 3257, 3464, 2761, 3959, 3674, 5399, 3094, 4615, 3092, 1657, 1114, 3191, 4582, 1237, 1866, 12725, 3505, 3571, 3995, 3074, 4514, 1000, 2812, 3486, 2523, 3323, 1110, 2020, 3367, 3969, 2800, 3199, 3881, 3909, 2556, 4522, 2559, 3212, 2565, 3508, 4112, 6611, 3535, 4640, 3186, 3192, 4536, 3875, 3898, 4604, 2034, 2745, 4687, 4348, 12684, 3561, 4675, 4196, 2666, 4534, 4578, 4251, 2955, 3559, 2634, 4345, 2152, 2436, 3033, 3392, 4045, 4512, 4110, 2914, 4652, 3209, 4573, 1375, 3338, 3385, 3828, 3201, 2911, 2427, 3059, 3288, 2591, 3441, 3724, 3113, 3957, 3885, 4088, 3502, 3254, 2001, 4347, 3321, 3264, 4094, 3737, 3772, 3878, 4223, 1045, 4287, 3368, 3570, 4346, 1625, 2150, 2480, 927, 3236, 922, 6439, 3422, 3459, 2579, 4128, 4340, 3263, 4577, 3541, 2637, 3519, 3958, 2663, 2407, 3649, 3960, 4048, 4663, 3072, 4673, 975, 4566"
gil,1962,"6111, 5735, 2766, 1462, 5934, 5975, 6099, 5919, 5970, 5682, 9552, 6006, 5622, 9540, 5798, 9556, 5645, 5686, 5742, 5775, 6005, 5943, 6067, 2273, 6062, 5915, 5580, 5576, 6026, 700, 5814, 5914, 5946, 5712, 5858, 6030, 5603, 6087, 5871, 6022, 5913, 5924, 5994, 5990, 9537, 5880, 5634, 6093, 9563, 9555, 5571, 5811, 2673, 5985, 6061, 889, 5950, 6047, 1661, 1772, 6097, 5574, 2031, 4460, 5815, 5988, 6028, 5939, 5973, 5841, 5980, 5651, 5732, 5887, 3435, 469, 5758, 5874, 5987, 5597, 6011, 5692, 5708, 4477, 5693, 1691, 5832, 5803, 6113, 5883, 6004, 5621, 5960, 6009, 5653, 3253, 6033, 9543, 5675, 1763, 5727, 5564, 3104, 5949, 5863, 1067, 5826, 9548, 5881, 6125, 6041, 6080, 5583, 1093, 2196, 6109, 1517, 6016, 702, 5590, 5562, 5930, 6104, 6160, 2025, 5584, 1490, 5852, 5860, 2008, 5658, 5711, 5957, 5820, 2629, 4475, 5948, 5849, 5895, 5599, 5756, 5581, 5936, 5938, 5626, 5696, 5718, 5619, 2519, 5585, 699, 5937, 5901, 5955, 5906, 5979, 5882, 5817, 5978, 6066, 5828, 5801, 5608, 5958, 1285, 1933, 1736, 5577, 6054, 5265, 6098, 2571, 6116, 5624, 5827, 3204, 5588, 5966, 6053, 6073, 5643, 6079, 5940, 6089, 6123, 9558, 6114, 3267, 5740, 5785, 6059, 898, 5918, 5594, 712, 5560, 5933, 6072, 6078, 5797, 5660, 6164, 5907, 567, 5968, 6082, 903, 1538, 5838, 5995, 5719, 1396, 5573, 6133, 5866, 5864, 5954, 5977, 6038, 6108, 5812, 5717, 5932, 4219, 5611, 1234, 5569, 5750, 6056, 814, 6007, 5859, 5851, 5892, 1373, 6031, 7003, 5755, 5745, 5821, 3903, 6115, 5657, 5595, 2042, 5565, 5921, 6100, 6094, 5680, 5795, 5646, 6046, 1302, 5582, 5893, 5942, 5964, 1696, 5632, 5713, 5668, 9565, 5800, 6014, 2560, 850, 5772, 5607, 3733, 5563, 5956, 6034, 6019, 721, 6045, 5770, 5889, 5715, 5855, 5931, 5976, 5636, 5844, 6010, 5963, 1817, 6021, 1784, 5865, 4491, 5947, 6102, 5695, 5431, 5733, 9562, 6020, 5802, 6023, 5654, 5845, 5896, 5935, 5879, 9554, 6027, 5647, 1248, 5700, 6101, 2937, 5854, 5774, 5786, 5848, 6024, 3873, 5762, 5592, 990, 6091, 5689, 5998, 5904, 5699, 6048, 6075, 3982, 6077, 5824, 5558, 5737, 5898, 5920, 2004, 5730, 3522, 6043, 6124, 5818, 6058, 5856, 5672, 5967, 6081, 5589, 1138, 6119, 5773, 5992, 2622, 5665, 6112, 5630, 5702, 5606, 5617, 5673, 5720, 6013, 6070, 5868, 6107, 6130, 5627, 5996, 5561, 6063, 2507, 5831, 5872, 9539, 5819, 5662, 5922, 5587, 5663, 5873, 3874, 12414, 5706, 5959, 4215, 6017, 2783, 5999, 2032, 6065, 1079, 6110, 5688, 6003, 1371, 5910, 5674, 5847, 5928, 6983, 5833, 9553, 5822, 5633, 5704, 6095, 5731, 5604, 6057, 6035, 2041, 5952, 5709, 5857, 6083, 5671, 5867, 6029, 5748, 5676, 5766, 5825, 1211, 6121, 5616, 2681, 5609, 5911, 5961, 5567, 9566, 5722, 1610, 6018, 6032, 5993, 6076, 11272, 5839, 9283, 5757, 5886, 5635, 5769, 5701, 5779, 5850, 5916, 6008, 2941, 1472, 5738, 534, 5726, 5809, 4498, 822, 9560, 5877, 5971, 5649, 5746, 5991, 6000, 6069, 1797, 1366, 5691, 5679, 5806, 6074, 5610, 6106, 5724, 6092, 5620, 9538, 6040, 9279, 6071, 5736, 5983, 2028, 6090, 668, 5683, 6012, 5591, 9544, 2569, 5734, 11568, 5853, 5602, 5697, 1713, 5559, 9561, 5705, 2455, 5721, 5823, 5741, 6049, 5816, 848, 830, 1263, 4479, 5637, 5761, 5891, 5837, 5974, 6118, 5601, 5900, 5743, 5884, 5753, 2577, 5870, 5694, 2573, 5878, 6002, 1130, 1534, 5655, 6060, 6661, 5876, 5765, 5926, 5767, 5808, 5843, 6126, 5834, 5698, 6050, 5598, 6559, 955, 1203, 5575, 5579, 1237, 592, 5905, 5714, 5836, 5902, 5625, 5829, 6127, 5739, 5752, 622, 6051, 5813, 5623, 5962, 5716, 2505, 5578, 6025, 5570, 5628, 5678, 5986, 5951, 6064, 5723, 3504, 5965, 5842, 5566, 5638, 5908, 2070, 5804, 5894, 5572, 6037, 6084, 6096, 5989, 5969, 5944, 6001, 2522, 2547, 5605, 2080, 4478, 5972, 5652, 1734, 6105, 5909, 5568, 5927, 1641, 5869, 6044, 5615, 7008, 5593, 1134, 2059, 5923, 5596, 9547, 1672, 5639, 5885, 6036, 4074, 5890, 5925, 5629, 6015, 5557, 6068, 5614, 2506, 5644, 2013, 7036, 5830, 5780, 5941, 5862, 892, 5759, 5912, 6122, 5768, 19123, 1765, 5846, 6052, 5729, 6103, 5835, 5650, 6120, 2298, 5771, 6039, 5875"
kingdom,1914,"6111, 5735, 2766, 5934, 5975, 3481, 6099, 5919, 5970, 715, 5682, 9552, 6006, 5622, 9540, 5798, 9556, 5645, 5686, 5742, 5775, 6005, 5943, 6067, 6062, 5915, 5580, 5576, 6026, 700, 5814, 5914, 5946, 5712, 5858, 6030, 5603, 6087, 5871, 6022, 5913, 5924, 5994, 5990, 9537, 5880, 5634, 6093, 9563, 9555, 5571, 5811, 2673, 5985, 6061, 889, 5950, 6047, 1661, 6097, 5574, 5815, 5988, 6028, 5939, 5973, 5841, 5980, 5651, 5732, 5887, 469, 5758, 5874, 5987, 5597, 6011, 5692, 5708, 4477, 5693, 1691, 5832, 5803, 6113, 9333, 5883, 6004, 5621, 5960, 4494, 6009, 5653, 4276, 3253, 6033, 9543, 5675, 1763, 5727, 5564, 3104, 5949, 5863, 5826, 5781, 9548, 5881, 6125, 6041, 6080, 5583, 2196, 6109, 6016, 702, 3670, 5590, 5562, 5930, 6104, 6160, 2025, 5584, 5852, 5860, 2008, 5658, 5711, 5957, 5820, 2629, 5948, 5849, 5895, 5599, 5756, 5581, 5936, 5938, 5626, 5696, 5718, 5619, 2519, 5585, 699, 5937, 5901, 5955, 5906, 5979, 5882, 5817, 5978, 6066, 5828, 5801, 5608, 5958, 6054, 5577, 5265, 6098, 2571, 6116, 5624, 5827, 5588, 5966, 6053, 6073, 5643, 6079, 5940, 6089, 6123, 9558, 6114, 3267, 5740, 5785, 6059, 5918, 5594, 712, 5560, 5933, 6072, 6078, 5797, 5660, 5907, 567, 5968, 6082, 5995, 5838, 5719, 1396, 5573, 6133, 5866, 5864, 5954, 5977, 6038, 6108, 5812, 5717, 5932, 4219, 5611, 5569, 745, 5750, 6056, 6007, 5859, 5851, 5892, 9037, 6031, 7003, 5755, 2483, 3542, 5745, 5821, 3903, 6115, 5657, 5595, 2042, 5565, 5921, 578, 6100, 6094, 5680, 5618, 5795, 3475, 5664, 5646, 6046, 5582, 5893, 5942, 5964, 1696, 5632, 5666, 5713, 5668, 9565, 5800, 5899, 3917, 6014, 2560, 5772, 5607, 3733, 5563, 5956, 6034, 6019, 721, 6045, 5903, 4203, 5770, 5889, 5715, 5855, 5931, 5976, 5636, 5844, 6010, 5963, 6021, 1784, 5865, 5947, 6102, 5695, 2654, 5431, 5733, 9562, 6020, 5802, 6023, 5654, 5845, 5896, 5935, 5879, 9554, 6027, 5647, 5700, 6101, 2937, 5854, 5774, 5786, 5848, 6024, 3873, 5762, 5592, 3717, 6091, 5689, 5998, 5904, 5699, 6048, 6075, 3701, 3982, 6077, 5824, 5558, 5737, 2466, 5898, 5920, 2004, 5730, 3522, 6043, 6124, 5818, 6058, 5856, 5672, 5967, 6081, 5589, 6119, 5773, 5992, 2622, 5665, 6112, 3697, 5630, 5702, 5606, 5617, 5673, 5720, 6013, 6070, 5868, 6107, 5627, 5996, 5561, 6063, 2507, 5831, 5872, 9539, 5819, 5662, 5922, 5587, 5663, 5873, 3874, 12414, 5706, 5959, 4215, 6017, 2783, 5999, 2032, 6065, 5641, 6110, 5688, 6003, 5910, 5674, 5847, 5928, 6983, 5833, 9553, 5822, 5633, 5704, 6095, 5731, 5604, 6057, 6035, 2041, 5952, 5709, 5857, 6083, 5888, 5671, 5867, 6029, 5748, 5676, 5766, 5825, 1211, 6121, 5616, 2681, 5609, 5911, 5961, 5567, 9566, 5722, 6018, 6032, 5631, 5993, 6076, 11272, 5839, 3305, 5757, 9283, 5886, 5953, 5635, 5769, 5701, 5779, 5850, 5916, 6008, 2941, 5738, 534, 5726, 5809, 9560, 5877, 3556, 5649, 5971, 5728, 5746, 5991, 6000, 6069, 1797, 5690, 5691, 5679, 5806, 6074, 5610, 6106, 3708, 5724, 6092, 5620, 9538, 6040, 9279, 6071, 5736, 4220, 5983, 2028, 6090, 5683, 6012, 5591, 9544, 5853, 5734, 5602, 5697, 1713, 5559, 9561, 5705, 2455, 5721, 5823, 5741, 6049, 5816, 4083, 830, 4479, 5637, 5761, 5891, 5837, 5974, 6118, 5601, 5900, 5743, 5884, 5753, 2577, 5870, 5694, 2573, 5878, 6002, 5655, 6060, 5876, 5765, 2485, 5926, 5767, 5808, 5843, 2554, 6126, 5834, 5698, 6050, 5598, 6559, 3469, 5575, 5579, 1237, 5905, 5714, 5836, 5902, 5625, 5829, 3726, 6127, 5739, 5752, 622, 2406, 6051, 5813, 5623, 5962, 5716, 5578, 6025, 5570, 5628, 5678, 5986, 5951, 6064, 5723, 3504, 5965, 5842, 5566, 5638, 5908, 2070, 5804, 5894, 5572, 6037, 6084, 6096, 5989, 5969, 5944, 6001, 2522, 2547, 5605, 5972, 5652, 1734, 6105, 5909, 5568, 5927, 5661, 1641, 5869, 6044, 5615, 7008, 5593, 2059, 5923, 5596, 9547, 5639, 5885, 6036, 4074, 5890, 5925, 5629, 6015, 5557, 6068, 2404, 3474, 5614, 2506, 5644, 2013, 7036, 5830, 5780, 5941, 5862, 5759, 5912, 6122, 5768, 5846, 6052, 5729, 6103, 5835, 5650, 6120, 5771, 6039, 5875"
yehuda,576,"1128, 872, 1803, 9278, 5592, 5735, 26663, 19790, 5827, 964, 5602, 1821, 3333, 1645, 4452, 3913, 2026, 19279, 3221, 5747, 5920, 5260, 5337, 6424, 4222, 26675, 5276, 9510, 3662, 23362, 1992, 6112, 19911, 7361, 2782, 30329, 593, 17489, 3989, 3672, 1508, 5598, 4473, 4150, 944, 2916, 5725, 28164, 30137, 4014, 19232, 19084, 5301, 2032, 6065, 967, 3215, 3712, 1353, 2833, 6051, 5910, 4005, 5861, 1812, 5847, 11982, 3535, 3230, 3089, 1698, 3435, 2863, 5758, 28505, 5565, 19111, 578, 5709, 1069, 19258, 12396, 2518, 19297, 11176, 6922, 6171, 3158, 9119, 26713, 3990, 992, 5800, 9043, 3385, 6658, 5286, 26748, 26684, 19166, 3596, 31110, 2186, 9120, 3105, 534, 6856, 30148, 2587, 983, 3321, 2404, 28506, 950, 11837, 31259, 2195, 19412, 2418, 1720, 591, 3815, 582, 11067, 2688, 20108, 521, 19144, 573, 1682, 792, 28435, 26678, 1647, 3567, 5278, 6054, 4319"
ladino,576,"12315, 31309, 30319, 30252, 19955, 30400, 30350, 28384, 31554, 28336, 30478, 31310, 31610, 31525, 31300, 30316, 30477, 30304, 31391, 20229, 28387, 31115, 31530, 26256, 31324, 31301, 19937, 28361, 31203, 30467, 19318, 30600, 30303, 30623, 19765, 31612, 31613, 28142, 31305, 29064, 30622, 11762, 28331, 31260, 30885, 30402, 30912, 19708, 28278, 30241, 16067, 31534, 17022, 19160, 19761, 31302, 11243, 30740, 30486, 17049, 31294, 28291, 23059, 31526, 30737, 31538, 30731, 30417, 28382, 28662, 31536, 31540, 28333, 31322, 17050, 28663, 19341, 18852, 25469, 31549, 31296, 30736, 12091, 31527, 31485, 30728, 31521, 31539, 19763, 30733, 24593, 31545, 30396, 28494, 11242, 20103, 27029, 19710, 31320, 19960, 28334, 31529, 30385, 30315, 31298, 30636, 28242, 8402, 31550, 26300, 30313, 31295, 30314, 31308, 30338, 30711, 30735, 31522, 31267, 31537, 31523, 31551, 31321, 17064, 31528, 30312, 26269, 28272, 31535, 31307, 31303, 31533, 31306, 8042, 19794, 30238, 31548, 18940, 31531, 25471, 30485, 26301, 31524, 31304, 28144, 31546, 30349, 31299, 16997, 17044, 12106, 31323, 30434, 28658, 31614, 30734, 19711, 19715, 17018, 28386, 31553, 17192, 17055, 28579, 31547, 31415, 31266, 28646, 30474, 19709, 30650, 30732, 28435, 31389, 28314, 31313, 31254, 30906, 31311, 30669, 22193, 11150, 30469, 31319"
app,546,"4594, 8593, 8580, 4646, 5328, 4662, 8568, 4643, 4666, 4620, 4658, 8545, 4664, 8574, 4538, 4527, 4609, 4659, 8582, 4529, 5318, 4645, 4576, 4679, 4528, 8566, 4523, 5327, 5332, 4613, 4674, 8583, 5316, 4636, 8542, 4616, 5314, 4518, 4602, 4628, 5311, 4584, 4568, 5309, 4520, 5325, 4532, 4526, 8544, 4617, 4516, 4615, 4608, 4582, 5331, 4685, 4627, 5326, 4514, 4647, 4610, 8578, 4599, 5310, 5329, 8557, 8592, 4630, 4669, 4621, 4308, 4638, 4672, 4589, 4640, 4660, 8543, 4587, 4536, 4586, 4682, 5315, 4600, 4604, 4618, 4651, 4687, 4509, 4626, 6779, 4593, 5320, 4534, 4578, 2708, 4650, 5308, 4515, 5333, 4575, 4622, 4592, 4607, 4683, 4519, 4537, 4611, 4535, 8575, 4652, 4573, 8563, 4508, 8587, 4606, 4572, 5330, 4063, 4623, 8589, 8846, 4657, 8585, 8588, 4524, 4653, 4642, 4671, 4634, 4668, 5317, 4601, 5322, 4605, 5319, 4656, 4681, 4629, 4661, 4612, 8581, 4603, 6439, 4632, 8561, 5324, 11413, 4577, 4637, 5312, 5321, 8584, 4639, 4517, 8586, 4062, 4585, 8546, 4644, 9551, 4614, 4574, 4663, 8564, 8288, 4633, 4641, 4588, 4673, 4566"
avraham,528,"668, 872, 5624, 28340, 19963, 2670, 5734, 26938, 1496, 2790, 1645, 1614, 19279, 957, 30572, 29668, 3780, 11516, 733, 1038, 26411, 27011, 6118, 19999, 3544, 30359, 4727, 30412, 1501, 3608, 3686, 19888, 1467, 12289, 3549, 11543, 847, 6374, 1075, 1754, 4105, 19266, 12312, 593, 4462, 2115, 8012, 6827, 2119, 1203, 28157, 11784, 17049, 4453, 6814, 3078, 3555, 30268, 11755, 7693, 2031, 4118, 23330, 1031, 3449, 2269, 725, 29650, 12715, 26926, 30597, 4764, 20005, 12400, 23273, 1503, 31661, 566, 988, 1373, 20443, 20000, 2863, 18366, 3790, 31654, 2918, 11937, 2522, 1857, 11959, 5466, 31617, 1737, 3564, 4409, 472, 4467, 26713, 5616, 3857, 12903, 11964, 19312, 11087, 9012, 2441, 3828, 2120, 5286, 5615, 19005, 9517, 29848, 1298, 3020, 3357, 23435, 875, 29611, 11958, 1504, 1517, 7215, 5779, 6664, 2593, 29869, 2739, 1475, 825, 2835, 8042, 11336, 885, 30485, 28963, 3681, 536, 1571, 11532, 12439, 1407, 12106, 1297, 30548, 5733, 3240, 818, 3245, 18233, 8126, 19089, 19190, 26678, 19130, 716, 2968, 4574, 31232, 18465, 1762, 5491, 11595"
natan,384,"3044, 4444, 5934, 7199, 1022, 5970, 581, 23400, 586, 5684, 4156, 30549, 6067, 2052, 2550, 29464, 6043, 765, 26675, 1501, 1967, 19242, 3843, 1531, 21192, 19203, 2133, 1840, 2729, 593, 5968, 1530, 1808, 19138, 834, 1521, 8043, 667, 1725, 3284, 5873, 4474, 4768, 12276, 4442, 3320, 1747, 19942, 868, 5704, 2394, 3903, 5249, 5604, 4765, 6860, 6185, 4477, 717, 6863, 4494, 1277, 4046, 574, 2600, 874, 2392, 3035, 7852, 2276, 3107, 1569, 2156, 5583, 26237, 3005, 11774, 1736, 31110, 29869, 1121, 584, 4756, 1199, 6403, 9272, 3794, 1520, 1806, 25633, 4491, 8916, 19412, 1316, 606, 20108, 5879, 3822, 2003, 30141, 2090, 19241, 2014, 840, 6120, 537, 492, 11567, 1842, 7887, 3979, 12305"
judaeo-arabic,186,"12137, 18884, 28523, 20249, 19861, 10953, 6627, 26717, 31514, 26409, 30891, 30144, 23302, 26955, 18719, 30320, 11757, 28470, 18947, 12418, 26721, 18597, 11751, 12128, 12139, 28164, 19053, 28553, 12134, 31161, 28147, 19947, 22679, 23320, 30502, 12129, 31431, 12140, 23272, 24576, 24604, 20244, 20245, 26730, 31091, 23281, 31234, 26725, 28578, 26662, 1766, 18551, 28460, 28500, 29902, 23301, 12133, 31463, 6892, 19748, 31510, 19762"
karaite,183,"1244, 2711, 18690, 9448, 16736, 3737, 28313, 9439, 16737, 9438, 18683, 18702, 18703, 18572, 3461, 18700, 18621, 3191, 16354, 18686, 592, 1790, 1356, 1566, 553, 16738, 9437, 16047, 7192, 510, 465, 17078, 8432, 2556, 16466, 26646, 4770, 3662, 2257, 17072, 30147, 1825, 18691, 3192, 16741, 1181, 7606, 1933, 18622, 18596, 18573"
