Name,Name PGP
‘Alī ibn al-‘Abbās al-Majūsī,‘Alī ibn al-‘Abbās al-Majūsī
[...] b. Abū l-Faḍl b. Abū l-ʿIzz al-Šarrābī,[...] b. Abū l-Faḍl b. Abū l-ʿIzz al-Sharrābī
[...] b. Abū l-Faraj,[...] b. Abū l-Faraj
[...] b. Daʾūd b. [...],[...] b. Daʾūd b. [...]
[…] b. Ibrahim ha-Kohen,[…] b. Ibrahim ha-Kohen
[...] b. Jacob,[...] b. Yaʿaqov
[...] b. Joseph,[...] b. Yosef
[…] b. Mešullam,[…] b. Meshullam
[...] b. Moses,[...] b. Moshe
[...] b. Nathan,[...] b. Natan
[…] b. Sulaymān,[…] b. Sulaymān
[…] b. Yiftaḥ ha-Kohen,[…] b. Yiftaḥ ha-Kohen
[…] bat Hillel,[…] bat Hillel
[…] Ibn Mūsā,[…] Ibn Mūsā
[...] Levi [...],[...] Levi [...]
[...]n b. Elijah ha-Kohen,[...]n b. Eliyyahu ha-Kohen
[b.?] Joseph ha-Kohen [...] he-Ḥaver,[b.?] Yosef ha-Kohen [...] he-Ḥaver
1381-1383 CE,1381-1383 CE
Aaron b. Ašer,Aharon b. Asher
Aaron b. Asher,Aharon b. Asher
Aaron b. Jacob,Aharon b. Yaʿaqov
Aaron ha-Kohen,Aharon ha-Kohen
Aaron ha-Kohen b. Namr,Aharon ha-Kohen b. Namr
Aaron ha-Mūmḥe b. Ephraim (cantor),Aharon ha-Mūmḥe b. Efrayim (cantor)
Abiathar ha-Kohen,Evyatar ha-Kohen
Abraham,Avraham
Abraham (muqaddam of Malīj),Avraham (muqaddam of Malīj)
Abraham al-Dimašqī the teacher b. Jethro,Avraham al-Dimashqī the teacher b. Jethro
Abraham b. Abū Joseph,Avraham b. Abū Yosef
Abraham b. Benjamin the teacher,Avraham b.Binyamin the teacher
Abraham b. David b. Suḡmār,Avraham b. David b. Sughmār
Abraham b. David b. Suḡmār Ibn Labrāṭ.,Avraham b. David b. Sughmār Ibn Labrāṭ.
Abraham b. Elʿazar (doctor),Avraham b. Elʿazar (doctor)
Abraham b. Ezra,Avraham b. ʿEzra
Abraham b. Farraḥ,Avraham b. Farraḥ
Abraham b. Farrāḥ,Avraham b. Farrāḥ
Abraham b. Ḥabīb,Avraham b. Ḥabīb
Abraham b. Ḥalfon b. Naḥum,Avraham b. Ḥalfon b. Naḥum
Abraham b. Hillel,Avraham b. Hillel
Abraham b. Isaac,Avraham b. Yiṣḥaq
Abraham b. Isaac al-Andalūsī,Avraham b. Yiṣḥaq al-Andalūsī
Abraham b. Isaac Alluf (Av Bet Din),Avraham b. Yiṣḥaq Alluf (Av Bet Din)
Abraham b. Isaac Ibn al-Zūlāfī,Avraham b. Yiṣḥaq Ibn al-Zūlāfī
Abraham b. Jacob,Avraham b. Yaʿaqov
Abraham b. Jacob al-Darʿi,Avraham b. Yaʿaqov al-Darʿi
Abraham b. Jethro,Avraham b. Jethro
Abraham b. Ḵalfa,Avraham b. Khalfa
Abraham b. Maimonides,Avraham b. Maimonides
Abraham b. Michael,Avraham b. Mikha’el
Abraham b. Miṣbāḥ,Avraham b. Miṣbāḥ
Abraham b. Muʿṭī,Avraham b. Muʿṭī
Abraham b. Nathan,Avraham b. Natan
Abraham b. Nathan Av,Avraham b. Natan Av
Abraham b. Šabbetay,Avraham b. Shabbetay
Abraham b. Šabbetay (judge),Avraham b. Shabbetay (judge)
Abraham b. Samuel b. Hošaʿna the Third,Avraham b. Shemuʾel b. Hoshaʿna the Third
Abraham b. Saʿadya,Avraham b. Saʿadya
Abraham b. Saʿadya he-Ḥaver,Avraham b. Saʿadya he-Ḥaver
Abraham b. Saʿadya he-Ḥaver ha-Ḥebroni,Avraham b. Saʿadya he-Ḥaver ha-Ḥebroni
