Name,Name PGP,Name: transcription revised to PGP standard
‘the leader’ Abū Zikrī,‘the leader’ Abū Zikrī,
(Abū) l-Faraj b. Barakāt,(Abū) l-Faraj b. Barakāt,
[… b. … ha-Ko]hen ‘the treasurer’ b. Samuel b. Moses ha-Kohen […] al-Qazzaz,[… b. … ha-Ko]hen ‘the treasurer’ b. Shemuʾel b. Moshe ha-Kohen […] al-Qazzaz,"Samuel --> Shemuʾel, Moses --> Moshe"
[... b. ] Ašqar,[... b. ] Ashqar,
[... b. Ma]nṣūr,[... b. Ma]nṣūr,
[... b.] Beraḵot,[... b.] Berakhot,all ḵ should be kh
[... b.] Ḥalfon,[... b.] Ḥalfon,
[... b.] Yefet,[... b.] Yefet,
[... b.] שאטי[..],[... b.] שאטי[..],Aaron --> Aharon
[...] (perhaps Aaron) the scribe b. Nahum,[...] (perhaps Aharon) the scribe b. Nahum,
[...] Abū l-Faraj Ibn al-Raʾīs Abū [...],[...] Abū l-Faraj Ibn al-Raʾīs Abū [...],
[…] al-Aṭrabulsī,[…] al-Aṭrabulsī,
[…] al-ḥakīm the silk trader b. Nathan,[…] al-ḥakīm the silk trader b. Natan,
[...] al-Ḥalabī,[...] al-Ḥalabī,
[...] al-Ḥusayn bat […],[...] al-Ḥusayn bat […],
[…] al-Isrāʾīlī al-Ṣaydalānī,[…] al-Isrāʾīlī al-Ṣaydalānī,
[...] al-Kohen,[...] al-Kohen,
[...] al-Kohen Solomon Roš ha-Yešiva (Abraham b. Sahlān?),[...] al-Kohen Shelomo Rosh ha-Yeshiva (Avraham b. Sahlān?),Solomon --> Shelomo; š --> sh
[...] al-Levi,[...] al-Levi,
[…] al-Maḡribī,[…] al-Maghribī,ḡ --> gh
[...] al-Miṣrī,[...] al-Miṣrī,
[...] al-Rūmiyya,[...] al-Rūmiyya,
[...] al-Ṣayrafī,[...] al-Ṣayrafī,
[…] al-Siqillī,[…] al-Siqillī,
[…] al-Yahūdī al-ʿAṭṭār,[…] al-Yahūdī al-ʿAṭṭār,
[...] al-ʿAkkāwī,[...] al-ʿAkkāwī,
[...] b. [...] ha-Levi ha-Parnas,[...] b. [...] ha-Levi ha-Parnas,
[...] b. [Sa]muel,[...] b. [Sa]muel,[She]muʾel
[...] b. Aaron,[...] b. Aharon,
[...] b. Aaron Šalom b. Ḥubayš,[...] b. Aharon shalom b. Ḥubaysh,
[...] b. Abī l-Ḥayy,[...] b. Abī l-Ḥayy,
[...] b. Abišai,[...] b. Avishai,Abišai --> Avishai
[...] b. Abraham,[...] b. Avraham,
[...] b. Abū Ibrahim al-Iskandarānī,[...] b. Abū Ibrahim al-Iskandarānī,
[...] b. Abū l-Barakāt,[...] b. Abū l-Barakāt,
[...] b. Abū l-Faḍl,[...] b. Abū l-Faḍl,
[...] b. Abū l-Faḍl Ibn al-Ḏahabī,[...] b. Abū l-Faḍl Ibn al-Dhahabī,
[...] b. Abū l-Yaman,[...] b. Abū l-Yaman,
[…] b. al-Naḡara,[…] b. al-Naghara,
[...] b. Barhūn,[...] b. Barhūn,
[...] b. Beraḵot,[...] b. Berakhot,
[...] b. Daniel,[...] b. Dani’el,
[...] b. Darmā,[...] b. Darmā,
[...] b. David,[...] b. David,
[...] b. David the judge,[...] b. David the judge,
[...] b. David the Nasi,[...] b. David the Nasi,
[...] b. Elʿazar,[...] b. Elʿazar,
[...] b. Ephraim,[...] b. Efrayim,Ephraim --> Efrayim
[...] b. Faraj,[...] b. Faraj,
[...] b. Ḥalfon,[...] b. Ḥalfon,
[...] b. Ḥalfon b. […],[...] b. Ḥalfon b. […],
[...] b. Ḥalfon ha-Levi,[...] b. Ḥalfon ha-Levi,
[...] b. Ḥalfon ha-Melammed,[...] b. Ḥalfon ha-Melammed,
[...] b. Ḥalfon he-Ḥaver,[...] b. Ḥalfon he-Ḥaver,
[…] b. Ḥalfon the Ḥaver,[…] b. Ḥalfon the Ḥaver,
[...] b. Harūn,[...] b. Harūn,
[...] b. Ḥayy,[...] b. Ḥayy,
[...] b. Ḥayya ha-Kohen,[...] b. Ḥayya ha-Kohen,
[...] b. Ḥayyīm,[...] b. Ḥayyīm,
[...] b. Ḥazzi,[...] b. Ḥazzi,
[...] b. Hilāl,[...] b. Hilāl,
[...] b. Hillel,[...] b. Hillel,
[…] b. Ḥusayn,[…] b. Ḥusayn,
[...] b. Ibrahim,[...] b. Ibrahim,
[...] b. Isaac,[...] b. Yiṣḥaq,Isaac --> Yiṣḥaq
"[...] b. Isaac, beadle of the Babylonian synagogue (possibly ʿEli b. Isaac, known as Ḡazāl ha-Kohen)","[...] b. Yiṣḥaq, beadle of the Babylonian synagogue (possibly ʿEli b. Yiṣḥaq, known as ghazāl ha-Kohen)",
[...] b. Isaiah,[...] b. Yeshaʿyahu,Isaiah --> Yeshaʿyahu EXCEPT when it's the book of the bible
[...] b. Ismāʿīl,[...] b. Ismāʿīl,
[...] b. Israel,[...] b. Yisraʾel,Israel --> Yisraʾel (except when not used as personal name)
