Place name,Aliases,,,"Source: PGP descriptions and tags, Goitein Med.Soc. Index"
abuqir,abukir,,,
aceh,,,,
acre,akko,ʿakko,,
aden,,,,
akhmim,,,,
al-ahwaz,ahwāz,,,
al-andalus,,,,
al-ashmunayn,ashmunayn,,,
al-bahnasa,,,,
al-bana,,,,
al-jawf,,,,
al-mahalla,al-mahallah,,,
al-mahdiyya,mahdiyya,,,
al-maʿabar,Malabar,,,
al-raqqa,raqqa,raqqah,,
al-rumayla,,,,
al-salihiyya,,,,
aleppo,,,,
alexandria,,,,
almeria,,,,
amalfi,,,,
amsterdam,,,,
ancona,,,,
antioch,,,,
aqraba,,,,
ascalon,ashkelon,ʿasqalān,,
ashmum,ushmun,,,
aswan,,,,
asyut,,,,
atfih,,,,
aydhab,ʿaydāb,aydhab,,
baalbek,,,,
babylonia,,,,
baghdad,,,,
bahlul,,,,
bahtit,,,,
balabish,,,,
bandariyya,,,,
banias,,,,
barcelona,,,,
basra,,,,
benha,,,,
bilbays,,,,
bombay,,,,
bucharest,,,,
bulaq,,,,
buljusuq,,,,
buna,bone,,,
busir,,,,
byzantium,,,,
cairo,,,,
castile,,,,
constantinople,,,,
crete,,,,
dahlak,,,,
dahrut,,,,
dahshur,,,,
dakarnas,,,,
damanhur,,,,
damascus,,,,
damietta,dimyat,,,
damira,,,,
dammuh,dummuh,,,
damsis,,,,
denia,,,,
diyar bahri,,,,
diyar qasri,,,,
egypt,,,,
essaouira,,,,
fayyum,,,,
fez,,,,
florence,,,,
france,,,,
fustat,,,,
fuwwa,,,,
gabes,qabes,,,
gaza,ghaza,,,
genoa,,,,
gharbiyya,,,,
ghayfa,,,,
giza,,,,
haifa,,,,
hamadan,,,,
hanes,,,,
hebron,,,,
hijaz,,,,
ibwan,,,,
ifrīqiya,,,,
india,,,,
indonesia,,,,
iran,,,,
iraq,,,,
israel,,,,
istanbul,,,,
italy,,,,
izmir,,,,
jazirat qasaniyya,,,,
jerba,,,,
jerusalem,,,,
jujar,jawjar,,,
kalah,malacca,,,
kalbasha,,,,
kedah,,,,
ladikya,,,,
levant,,,,
livorno,,,,
maghrib,,,,
majorica,,,,
malij,,,,
manuf,,,,
manufiyya,,,,
marseilles,,,,
mecca,,,,
messina,,,,
minyat al-qa'id,minyat qa'id,,,
minyat al-sharif,,,,
minyat ashna,minyat ishna,,,
minyat badr,,,,
minyat ghamr,minyat gamr,,,
minyat khalaf,,,,
minyat zifta,minyyat zifta,,,
minyatayn,,,,
mosul,,,,
nablus,,,,
palermo,,,,
palestine,,,,
pisa,,,,
port said,,,,
qabes,,,,
qal'at ja'bar,,,,
qalha,,,,
qalyub,,,,
qayrawan,,,,
qift,,,,
qujandima,qugandima,,,
qulzum,suez,,,
qus,,,,
quseir,,,,
ragusa,,,,
ramla,ramle,,,
rashid,,,,
rhodes,,,,
rosetta,,,,
rum,,,,
safed,,,,
sahrajt,,,,
salerno,,,,
salonica,salonika,,,
sammanud,,,,
sanhur,,,,
ṣanʿāʾ,san'a',,,
seleucia,,,,
sfax,,,,
shabur,,,,
sharqiyya,,,,
shattanawf,,,,
shubra,,,,
sicily,,,,
sidon,saida,,,
sijilmassa,,,,
sinai,,,,
sirsinā,,,,
spain,,,,
sudan,,,,
sumatra,,,,
sunbat,sumbutya,,,
susa,,,,
syracuse,,,,
syria,,,,
tangier,,,,
tatai,tatay,,,
tetouan,,,,
tiberias,,,,
tinnis,,,,
tlemcen,,,,
toledo,,,,
torino,,,,
trapani,,,,
trieste,,,,
tripoli,,,,
tripoli (lebanon),,,,
tripoli (libya),,,,
tripolitania,,,,
tunis,,,,
tunisia,,,,
turkey,,,,
tyre,,,,
upper egypt,,,,
venice,,,,
yazd,,,,
yemen,,,,
zagreb,,,,
